initialCells,t (s),experimentalCells (1),initialGlucose (mol/m^3),initialLactate (mol/m^3),initialOxygen (O2 mmHg)
200000,21600,155465.9844,22,1.725,182.8
200000,21600,150582.2362,22,1.725,182.8
200000,21600,172152.1241,22,1.725,182.8
25000,64800,49244.46102,22,1.725,182.8
25000,64800,43546.75478,22,1.725,182.8
25000,64800,37849.04855,22,1.725,182.8
50000,64800,72849.24398,22,1.725,182.8
50000,64800,80581.8453,22,1.725,182.8
50000,64800,80174.86628,22,1.725,182.8
100000,64800,123314.6421,22,1.725,182.8
100000,64800,138372.8657,22,1.725,182.8
100000,64800,109680.845,22,1.725,182.8
200000,64800,200640.6552,22,1.725,182.8
200000,64800,189855.7113,22,1.725,182.8
200000,64800,210001.1726,22,1.725,182.8
25000,108000,67558.51677,22,1.725,182.8
25000,108000,59622.42594,22,1.725,182.8
25000,108000,46395.6079,22,1.725,182.8
50000,108000,90552.83121,22,1.725,182.8
50000,108000,92994.70531,22,1.725,182.8
50000,108000,88924.91514,22,1.725,182.8
100000,108000,152617.1313,22,1.725,182.8
100000,108000,170524.208,22,1.725,182.8
100000,108000,139593.8027,22,1.725,182.8
200000,108000,254768.8644,22,1.725,182.8
200000,108000,236251.3192,22,1.725,182.8
200000,108000,265553.8084,22,1.725,182.8
25000,151200,99506.36958,22,1.725,182.8
25000,151200,69593.41185,22,1.725,182.8
25000,151200,73663.20202,22,1.725,182.8
50000,151200,110901.782,22,1.725,182.8
50000,151200,121279.747,22,1.725,182.8
50000,151200,120669.2784,22,1.725,182.8
100000,151200,199216.2287,22,1.725,182.8
100000,151200,221803.5641,22,1.725,182.8
100000,151200,193315.0329,22,1.725,182.8
200000,151200,344100.7586,22,1.725,182.8
200000,151200,311338.9478,22,1.725,182.8
200000,151200,347967.0593,22,1.725,182.8
25000,194400,110291.3135,22,1.725,182.8
25000,194400,92994.70531,22,1.725,182.8
25000,194400,93808.66334,22,1.725,182.8
50000,194400,152006.6627,22,1.725,182.8
50000,194400,158314.8375,22,1.725,182.8
50000,194400,170931.187,22,1.725,182.8
100000,194400,284885.3117,22,1.725,182.8
100000,194400,308693.5841,22,1.725,182.8
100000,194400,258838.6546,22,1.725,182.8
200000,194400,437298.9534,22,1.725,182.8
200000,194400,393955.6881,22,1.725,182.8
200000,194400,457851.3938,22,1.725,182.8
25000,237600,147529.8935,22,1.725,182.8
25000,237600,117006.4673,22,1.725,182.8
25000,237600,126773.9637,22,1.725,182.8
50000,237600,183751.026,22,1.725,182.8
50000,237600,217326.7949,22,1.725,182.8
50000,237600,222007.0536,22,1.725,182.8
100000,237600,345932.1642,22,1.725,182.8
100000,237600,383577.7232,22,1.725,182.8
100000,237600,327414.6189,22,1.725,182.8
200000,237600,532939.0223,22,1.725,182.8
200000,237600,542706.5187,22,1.725,182.8
200000,237600,567328.7492,22,1.725,182.8
25000,280800,212239.5572,22,1.725,182.8
25000,280800,173576.5506,22,1.725,182.8
25000,280800,177646.3408,22,1.725,182.8
50000,280800,253547.9274,22,1.725,182.8
50000,280800,280612.032,22,1.725,182.8
50000,280800,297908.6402,22,1.725,182.8
100000,280800,440351.296,22,1.725,182.8
100000,280800,453781.6036,22,1.725,182.8
100000,280800,411252.2963,22,1.725,182.8
200000,280800,675788.6572,22,1.725,182.8
200000,280800,633259.3499,22,1.725,182.8
200000,280800,644858.2519,22,1.725,182.8
25000,324000,257414.228,22,1.725,182.8
25000,324000,251106.0533,22,1.725,182.8
25000,324000,228722.2074,22,1.725,182.8
50000,324000,335757.6888,22,1.725,182.8
50000,324000,340030.9684,22,1.725,182.8
50000,324000,357531.0661,22,1.725,182.8
100000,324000,547386.7774,22,1.725,182.8
100000,324000,556950.7843,22,1.725,182.8
100000,324000,556136.8263,22,1.725,182.8
200000,324000,781196.2225,22,1.725,182.8
200000,324000,730120.3559,22,1.725,182.8
200000,324000,831865.1101,22,1.725,182.8
25000,367200,343693.7796,22,1.725,182.8
25000,367200,295059.7871,22,1.725,182.8
25000,367200,296280.7241,22,1.725,182.8
50000,367200,446455.9813,22,1.725,182.8
50000,367200,431601.2472,22,1.725,182.8
50000,367200,445845.5128,22,1.725,182.8
100000,367200,601718.4761,22,1.725,182.8
100000,367200,604363.8398,22,1.725,182.8
100000,367200,579741.6092,22,1.725,182.8
200000,367200,837155.8373,22,1.725,182.8
200000,367200,852214.0609,22,1.725,182.8
200000,367200,906545.7596,22,1.725,182.8
25000,410400,389275.4294,22,1.725,182.8
25000,410400,382967.2547,22,1.725,182.8
25000,410400,386630.0658,22,1.725,182.8
50000,410400,475758.4705,22,1.725,182.8
50000,410400,553287.9732,22,1.725,182.8
50000,410400,531514.5958,22,1.725,182.8
100000,410400,745178.5795,22,1.725,182.8
100000,410400,777533.4113,22,1.725,182.8
100000,410400,725033.1182,22,1.725,182.8
