initialCells,t (s),experimentalGlucose (mol/m^3),experimentalLactate (mol/m^3),experimentalOxygen (O2 mmHg),initialGlucose (mol/m^3),initialLactate (mol/m^3),initialOxygen (O2 mmHg)
25000,21600,22.2,1.55,174.1,21.9,1.526666667,195.25
25000,21600,22,1.59,173.2,21.9,1.526666667,195.25
25000,21600,22,1.61,170.5,21.9,1.526666667,195.25
50000,21600,21.7,1.64,179.5,21.9,1.526666667,195.25
50000,21600,21.7,1.67,170.4,21.9,1.526666667,195.25
50000,21600,22,1.74,173.2,21.9,1.526666667,195.25
100000,21600,21.6,1.82,174.9,21.9,1.526666667,195.25
100000,21600,22,1.79,172.8,21.9,1.526666667,195.25
100000,21600,21.6,1.84,179.9,21.9,1.526666667,195.25
200000,21600,21.7,2.07,169.3,21.9,1.526666667,195.25
200000,21600,21.9,2.08,176.4,21.9,1.526666667,195.25
200000,21600,22,2.09,173.6,21.9,1.526666667,195.25
25000,108000,22.2,2.09,149.7,21.9,1.526666667,195.25
25000,108000,21.6,1.91,171.6,21.9,1.526666667,195.25
25000,108000,22.6,2,146.9,21.9,1.526666667,195.25
50000,108000,21.9,2.44,151.4,21.9,1.526666667,195.25
50000,108000,21.7,2.39,143.5,21.9,1.526666667,195.25
50000,108000,21.8,2.31,147,21.9,1.526666667,195.25
100000,108000,21.1,3.72,154.4,21.9,1.526666667,195.25
100000,108000,21.3,3.14,148.5,21.9,1.526666667,195.25
100000,108000,21.3,3.02,151.4,21.9,1.526666667,195.25
200000,108000,20.3,5.58,162.2,21.9,1.526666667,195.25
200000,108000,20.1,4.66,158.1,21.9,1.526666667,195.25
200000,108000,20.6,4.76,164.1,21.9,1.526666667,195.25
25000,194400,23.2,3.2,164.9,21.9,1.526666667,195.25
25000,194400,22.7,2.57,156.7,21.9,1.526666667,195.25
25000,194400,22.7,2.59,156,21.9,1.526666667,195.25
50000,194400,21.5,3.98,168.1,21.9,1.526666667,195.25
50000,194400,21.4,3.82,159,21.9,1.526666667,195.25
50000,194400,21.8,3.62,166.9,21.9,1.526666667,195.25
100000,194400,20.1,7.22,179.2,21.9,1.526666667,195.25
100000,194400,20.5,5.4,173.6,21.9,1.526666667,195.25
100000,194400,20.8,5.14,179.7,21.9,1.526666667,195.25
200000,194400,18,10.73,176.9,21.9,1.526666667,195.25
200000,194400,18.6,8.47,180.7,21.9,1.526666667,195.25
200000,194400,18.7,8.28,179.1,21.9,1.526666667,195.25
25000,280800,22.1,6.19,169.9,21.9,1.526666667,195.25
25000,280800,21.6,4.47,165.6,21.9,1.526666667,195.25
25000,280800,22.4,4.73,171.1,21.9,1.526666667,195.25
50000,280800,20,8.54,173.6,21.9,1.526666667,195.25
50000,280800,19.4,7.35,167.9,21.9,1.526666667,195.25
50000,280800,20.8,7.19,169.4,21.9,1.526666667,195.25
100000,280800,16.4,13.58,164.7,21.9,1.526666667,195.25
100000,280800,17.8,11.15,166.4,21.9,1.526666667,195.25
100000,280800,18.7,10.5,175.7,21.9,1.526666667,195.25
200000,280800,14.3,19.32,177.9,21.9,1.526666667,195.25
200000,280800,15.5,14.96,172.5,21.9,1.526666667,195.25
200000,280800,15.9,14.82,170.4,21.9,1.526666667,195.25
25000,367200,20.7,11.39,171.3,21.9,1.526666667,195.25
25000,367200,20.4,7.37,165.8,21.9,1.526666667,195.25
25000,367200,21.5,7.86,174.8,21.9,1.526666667,195.25
50000,367200,18,13.9,175,21.9,1.526666667,195.25
50000,367200,17.6,11.86,169.5,21.9,1.526666667,195.25
50000,367200,19.1,10.91,170,21.9,1.526666667,195.25
100000,367200,14.1,20.66,170.3,21.9,1.526666667,195.25
100000,367200,15.3,14.63,165.5,21.9,1.526666667,195.25
100000,367200,16.4,13.83,168.3,21.9,1.526666667,195.25
200000,367200,11.7,25.3,172.4,21.9,1.526666667,195.25
200000,367200,12.5,18.01,165.9,21.9,1.526666667,195.25
200000,367200,13.6,19.26,168.3,21.9,1.526666667,195.25
25000,21600,22.6,1.67,167.1,21.9,1.526666667,195.25
25000,21600,22.4,1.65,164,21.9,1.526666667,195.25
25000,21600,22,1.64,167.3,21.9,1.526666667,195.25
50000,21600,22,1.74,170.8,21.9,1.526666667,195.25
50000,21600,22.2,1.78,174.6,21.9,1.526666667,195.25
