initialCells,t (s),experimentalGlucose (mol/m^3),experimentalLactate (mol/m^3),experimentalOxygen (O2 mmHg),initialGlucose (mol/m^3),initialLactate (mol/m^3),initialOxygen (O2 mmHg)
50000,21600,22,1.76,179.3,21.9,1.526666667,195.25
100000,21600,22.2,2.03,177.6,21.9,1.526666667,195.25
100000,21600,22.3,1.85,188.9,21.9,1.526666667,195.25
100000,21600,22.1,1.82,182.3,21.9,1.526666667,195.25
200000,21600,21.7,2.16,180.5,21.9,1.526666667,195.25
200000,21600,21.6,2.17,180,21.9,1.526666667,195.25
200000,21600,21.6,2.17,177.5,21.9,1.526666667,195.25
25000,108000,22.7,2.19,160.5,21.9,1.526666667,195.25
25000,108000,22,2.09,149.7,21.9,1.526666667,195.25
25000,108000,22.3,2.2,159,21.9,1.526666667,195.25
50000,108000,21.7,2.77,153.1,21.9,1.526666667,195.25
50000,108000,22.4,2.81,181.4,21.9,1.526666667,195.25
50000,108000,22,2.7,177.2,21.9,1.526666667,195.25
100000,108000,21.3,4.32,168.3,21.9,1.526666667,195.25
100000,108000,20.9,3.67,171.1,21.9,1.526666667,195.25
100000,108000,21.1,3.7,173.8,21.9,1.526666667,195.25
200000,108000,19.5,5.79,174.4,21.9,1.526666667,195.25
200000,108000,19.8,6.17,177.7,21.9,1.526666667,195.25
200000,108000,20.3,6.54,179.5,21.9,1.526666667,195.25
25000,194400,22.7,3.3,163.6,21.9,1.526666667,195.25
25000,194400,22.1,3.12,177.7,21.9,1.526666667,195.25
25000,194400,22.2,3.17,167.1,21.9,1.526666667,195.25
50000,194400,21,4.81,168.4,21.9,1.526666667,195.25
50000,194400,20.9,4.89,167.7,21.9,1.526666667,195.25
50000,194400,21.2,4.99,172.3,21.9,1.526666667,195.25
100000,194400,19.3,8.54,164.6,21.9,1.526666667,195.25
100000,194400,19.6,7.32,168.8,21.9,1.526666667,195.25
100000,194400,19.9,7.47,171.9,21.9,1.526666667,195.25
200000,194400,17.5,11.31,167.7,21.9,1.526666667,195.25
200000,194400,17.2,10.72,164.4,21.9,1.526666667,195.25
200000,194400,17.4,11.23,175.2,21.9,1.526666667,195.25
25000,280800,20.6,3.91,159.2,21.9,1.526666667,195.25
25000,280800,20.1,4.02,154.4,21.9,1.526666667,195.25
25000,280800,20.4,4.26,154.5,21.9,1.526666667,195.25
50000,280800,18.9,6.88,162.3,21.9,1.526666667,195.25
50000,280800,18.5,6.83,161.8,21.9,1.526666667,195.25
50000,280800,18.8,6.76,163.6,21.9,1.526666667,195.25
100000,280800,16.3,10.04,159.4,21.9,1.526666667,195.25
100000,280800,16.8,8.88,175.8,21.9,1.526666667,195.25
100000,280800,16.9,9.01,161.8,21.9,1.526666667,195.25
200000,280800,14.3,12.05,158,21.9,1.526666667,195.25
200000,280800,14.3,11.68,155.8,21.9,1.526666667,195.25
200000,280800,14.2,11.88,161.4,21.9,1.526666667,195.25
25000,367200,20.4,7.97,153.9,21.9,1.526666667,195.25
25000,367200,19.2,6.99,151.2,21.9,1.526666667,195.25
50000,367200,17.8,11.98,159.1,21.9,1.526666667,195.25
50000,367200,17,11.11,163.6,21.9,1.526666667,195.25
50000,367200,17,10.71,158.7,21.9,1.526666667,195.25
100000,367200,14.5,15.16,158.3,21.9,1.526666667,195.25
100000,367200,15,13.86,155.6,21.9,1.526666667,195.25
100000,367200,15.4,17.05,172.7,21.9,1.526666667,195.25
200000,367200,11.9,20.3,168.1,21.9,1.526666667,195.25
200000,367200,11.6,18.98,173.7,21.9,1.526666667,195.25
200000,367200,12,18.29,175.8,21.9,1.526666667,195.25
25000,21600,22.3,1.69,174.4,21.9,1.526666667,195.25
25000,21600,22.8,1.67,178.3,21.9,1.526666667,195.25
25000,21600,23,1.71,182.6,21.9,1.526666667,195.25
50000,21600,22.3,1.71,183,21.9,1.526666667,195.25
50000,21600,22.3,1.72,169.5,21.9,1.526666667,195.25
100000,21600,22.3,1.71,164.5,21.9,1.526666667,195.25
100000,21600,22.3,1.75,174,21.9,1.526666667,195.25
100000,21600,22.3,1.75,174.2,21.9,1.526666667,195.25
200000,21600,22.7,1.84,159.8,21.9,1.526666667,195.25
200000,21600,22.5,1.86,163.9,21.9,1.526666667,195.25
200000,21600,22.1,1.77,162.6,21.9,1.526666667,195.25
25000,108000,22.9,1.86,152.7,21.9,1.526666667,195.25
25000,108000,22.9,1.9,159.7,21.9,1.526666667,195.25
25000,108000,23,1.92,162.6,21.9,1.526666667,195.25
50000,108000,23,2.07,153.3,21.9,1.526666667,195.25
50000,108000,22.9,2.14,156.5,21.9,1.526666667,195.25
50000,108000,22.8,2.36,154.1,21.9,1.526666667,195.25
100000,108000,22.9,2.55,158.1,21.9,1.526666667,195.25
100000,108000,22.7,2.76,165.3,21.9,1.526666667,195.25
100000,108000,22.4,2.62,162.6,21.9,1.526666667,195.25
200000,108000,22.6,3.43,161,21.9,1.526666667,195.25
200000,108000,22.5,3.78,163.9,21.9,1.526666667,195.25
200000,108000,22.5,3.79,179.2,21.9,1.526666667,195.25
25000,194400,23.1,2.26,163,21.9,1.526666667,195.25
25000,194400,22.9,2.45,182.6,21.9,1.526666667,195.25
25000,194400,22.8,2.33,181.8,21.9,1.526666667,195.25
50000,194400,22.4,2.94,173.4,21.9,1.526666667,195.25
50000,194400,22.4,3.1,179.9,21.9,1.526666667,195.25
50000,194400,22,3.79,181,21.9,1.526666667,195.25
100000,194400,22,4.58,175.4,21.9,1.526666667,195.25
100000,194400,21.3,4.86,178.3,21.9,1.526666667,195.25
100000,194400,21.6,4.8,181.7,21.9,1.526666667,195.25
200000,194400,20.7,7.08,178.6,21.9,1.526666667,195.25
200000,194400,20,7.29,176.1,21.9,1.526666667,195.25
200000,194400,20.1,7.53,183.1,21.9,1.526666667,195.25
25000,280800,22.9,3.12,163.3,21.9,1.526666667,195.25
25000,280800,22.3,3.48,162.4,21.9,1.526666667,195.25
25000,280800,22.8,3.72,164.1,21.9,1.526666667,195.25
50000,280800,21.9,5.5,171.2,21.9,1.526666667,195.25
50000,280800,21.3,5.7,165.2,21.9,1.526666667,195.25
50000,280800,20.5,7.55,173.9,21.9,1.526666667,195.25
100000,280800,19.5,9.03,166.8,21.9,1.526666667,195.25
100000,280800,19.1,9.54,162.1,21.9,1.526666667,195.25
100000,280800,19.1,9.78,167.9,21.9,1.526666667,195.25
200000,280800,17.5,13.36,153.1,21.9,1.526666667,195.25
200000,280800,16.5,12.63,150.6,21.9,1.526666667,195.25
200000,280800,16.7,13.41,167.6,21.9,1.526666667,195.25
25000,367200,22.4,5.72,159.6,21.9,1.526666667,195.25
25000,367200,21.2,6.48,162,21.9,1.526666667,195.25
25000,367200,21.6,6.39,168.7,21.9,1.526666667,195.25
50000,367200,19.8,9.4,161.1,21.9,1.526666667,195.25
50000,367200,19.2,9.96,177.7,21.9,1.526666667,195.25
50000,367200,18.1,12.44,167.5,21.9,1.526666667,195.25
100000,367200,17.1,14,168.7,21.9,1.526666667,195.25
100000,367200,16.1,14.58,166.6,21.9,1.526666667,195.25
100000,367200,16.4,13.89,170.7,21.9,1.526666667,195.25
200000,367200,15,16.61,168.1,21.9,1.526666667,195.25
200000,367200,14,17.16,176.9,21.9,1.526666667,195.25
200000,367200,14.2,17.72,174.5,21.9,1.526666667,195.25
