initialCells,t (s),experimentalCells (1),initialGlucose (mol/m^3),initialLactate (mol/m^3),initialOxygen (O2 mmHg)
25000,21600,26250.14658,5.211111111,1.457777778,211.1666667
25000,21600,21773.37739,5.211111111,1.457777778,211.1666667
25000,21600,22790.82493,5.211111111,1.457777778,211.1666667
50000,21600,74273.67054,5.211111111,1.457777778,211.1666667
50000,21600,57994.50988,5.211111111,1.457777778,211.1666667
50000,21600,70814.3489,5.211111111,1.457777778,211.1666667
100000,21600,92994.70531,5.211111111,1.457777778,211.1666667
100000,21600,98285.43253,5.211111111,1.457777778,211.1666667
100000,21600,94419.13187,5.211111111,1.457777778,211.1666667
200000,21600,257210.7385,5.211111111,1.457777778,211.1666667
200000,21600,239100.1723,5.211111111,1.457777778,211.1666667
200000,21600,199216.2287,5.211111111,1.457777778,211.1666667
25000,108000,19941.97182,5.211111111,1.457777778,211.1666667
25000,108000,20145.46133,5.211111111,1.457777778,211.1666667
25000,108000,25639.67805,5.211111111,1.457777778,211.1666667
50000,108000,107442.4604,5.211111111,1.457777778,211.1666667
50000,108000,70000.39087,5.211111111,1.457777778,211.1666667
50000,108000,68168.98529,5.211111111,1.457777778,211.1666667
100000,108000,98692.41154,5.211111111,1.457777778,211.1666667
100000,108000,119244.8519,5.211111111,1.457777778,211.1666667
100000,108000,119244.8519,5.211111111,1.457777778,211.1666667
200000,108000,317850.612,5.211111111,1.457777778,211.1666667
200000,108000,336164.6678,5.211111111,1.457777778,211.1666667
200000,108000,262704.9553,5.211111111,1.457777778,211.1666667
25000,194400,33982.74789,5.211111111,1.457777778,211.1666667
25000,194400,24418.741,5.211111111,1.457777778,211.1666667
25000,194400,42936.28626,5.211111111,1.457777778,211.1666667
50000,194400,119651.8309,5.211111111,1.457777778,211.1666667
50000,194400,86686.53055,5.211111111,1.457777778,211.1666667
50000,194400,123111.1525,5.211111111,1.457777778,211.1666667
100000,194400,176832.3827,5.211111111,1.457777778,211.1666667
100000,194400,201454.6133,5.211111111,1.457777778,211.1666667
100000,194400,150582.2362,5.211111111,1.457777778,211.1666667
200000,194400,422647.7088,5.211111111,1.457777778,211.1666667
200000,194400,457240.9252,5.211111111,1.457777778,211.1666667
200000,194400,386630.0658,5.211111111,1.457777778,211.1666667
25000,280800,47820.03446,5.211111111,1.457777778,211.1666667
25000,280800,36017.64298,5.211111111,1.457777778,211.1666667
25000,280800,66134.09021,5.211111111,1.457777778,211.1666667
50000,280800,175000.9772,5.211111111,1.457777778,211.1666667
50000,280800,192908.0539,5.211111111,1.457777778,211.1666667
50000,280800,186396.3896,5.211111111,1.457777778,211.1666667
100000,280800,295263.2766,5.211111111,1.457777778,211.1666667
100000,280800,322123.8917,5.211111111,1.457777778,211.1666667
100000,280800,319275.0386,5.211111111,1.457777778,211.1666667
200000,280800,589916.0847,5.211111111,1.457777778,211.1666667
200000,280800,710788.8526,5.211111111,1.457777778,211.1666667
200000,280800,588898.6371,5.211111111,1.457777778,211.1666667
25000,367200,75087.62858,5.211111111,1.457777778,211.1666667
25000,367200,59011.95742,5.211111111,1.457777778,211.1666667
25000,367200,104797.0968,5.211111111,1.457777778,211.1666667
50000,367200,279798.074,5.211111111,1.457777778,211.1666667
50000,367200,261077.0392,5.211111111,1.457777778,211.1666667
50000,367200,285088.8012,5.211111111,1.457777778,211.1666667
100000,367200,476979.4075,5.211111111,1.457777778,211.1666667
100000,367200,431804.7367,5.211111111,1.457777778,211.1666667
100000,367200,403112.716,5.211111111,1.457777778,211.1666667
200000,367200,799713.7678,5.211111111,1.457777778,211.1666667
200000,367200,770207.789,5.211111111,1.457777778,211.1666667
