initialCells,t (s),experimentalGlucose (mol/m^3),experimentalLactate (mol/m^3),experimentalOxygen (O2 mmHg),initialGlucose (mol/m^3),initialLactate (mol/m^3),initialOxygen (O2 mmHg)
25000,151200,22.2,2.37,159.8,22,1.725,182.8
25000,151200,22.1,2.42,162.6,22,1.725,182.8
50000,151200,21.3,2.85,161.4,22,1.725,182.8
50000,151200,21,2.89,160.5,22,1.725,182.8
50000,151200,21,3,161.9,22,1.725,182.8
100000,151200,20.9,4.18,162,22,1.725,182.8
100000,151200,20.5,4.26,161.6,22,1.725,182.8
100000,151200,21,4.39,164.8,22,1.725,182.8
200000,151200,20.5,6.18,162.1,22,1.725,182.8
200000,151200,19.9,5.91,174.4,22,1.725,182.8
200000,151200,20,6.51,171.5,22,1.725,182.8
25000,194400,22.8,2.77,158.2,22,1.725,182.8
25000,194400,22.7,2.85,156.2,22,1.725,182.8
25000,194400,23.1,2.95,159.1,22,1.725,182.8
50000,194400,22.1,3.66,158.5,22,1.725,182.8
50000,194400,21.6,3.8,158.8,22,1.725,182.8
50000,194400,22,4.02,159.7,22,1.725,182.8
100000,194400,21.2,5.65,161.8,22,1.725,182.8
100000,194400,20.5,5.84,160.6,22,1.725,182.8
100000,194400,21.3,6.16,164,22,1.725,182.8
200000,194400,20.1,8.17,173.6,22,1.725,182.8
200000,194400,19.5,7.91,171.3,22,1.725,182.8
200000,194400,19.8,8.43,166.7,22,1.725,182.8
25000,237600,22.9,3.14,157.2,22,1.725,182.8
25000,237600,22.6,3.28,158.8,22,1.725,182.8
25000,237600,22.1,3.1,154.1,22,1.725,182.8
50000,237600,22.1,4.27,165.5,22,1.725,182.8
50000,237600,21.6,4.15,156.5,22,1.725,182.8
50000,237600,22.2,4.71,165.1,22,1.725,182.8
100000,237600,21.3,6.84,164.7,22,1.725,182.8
100000,237600,19.8,6.6,163.1,22,1.725,182.8
100000,237600,20.6,6.32,161.8,22,1.725,182.8
200000,237600,19.1,9.31,168.6,22,1.725,182.8
200000,237600,18.6,8.52,165.5,22,1.725,182.8
200000,237600,19.1,8.55,164.4,22,1.725,182.8
25000,280800,22.9,3.8,162.6,22,1.725,182.8
25000,280800,21.9,3.73,160.6,22,1.725,182.8
25000,280800,22.4,3.97,159.4,22,1.725,182.8
50000,280800,21.1,5.19,153,22,1.725,182.8
50000,280800,20.7,5.35,158.9,22,1.725,182.8
50000,280800,21.6,5.77,165.4,22,1.725,182.8
100000,280800,19.9,7.81,161.1,22,1.725,182.8
100000,280800,19.2,8.22,161.3,22,1.725,182.8
100000,280800,19.8,8.33,160.8,22,1.725,182.8
200000,280800,18.1,10.2,159.9,22,1.725,182.8
200000,280800,17.6,10.07,161.4,22,1.725,182.8
200000,280800,18.2,11.06,165.2,22,1.725,182.8
25000,324000,22.7,5.15,155.2,22,1.725,182.8
25000,324000,21.4,4.94,167.7,22,1.725,182.8
25000,324000,22.2,5.41,158.1,22,1.725,182.8
50000,324000,20.7,7.15,155.8,22,1.725,182.8
50000,324000,19.7,7.13,158.3,22,1.725,182.8
50000,324000,20.5,7.48,158.2,22,1.725,182.8
100000,324000,18.9,10.04,161.5,22,1.725,182.8
100000,324000,17.8,10.44,165.1,22,1.725,182.8
100000,324000,19.1,11.77,170.6,22,1.725,182.8
200000,324000,17,13.6,168.3,22,1.725,182.8
200000,324000,16.4,13.06,169.7,22,1.725,182.8
200000,324000,16.7,14.05,169.9,22,1.725,182.8
25000,367200,22.5,6.36,171.2,22,1.725,182.8
25000,367200,20.9,6.16,164,22,1.725,182.8
25000,367200,22.6,7.15,167.7,22,1.725,182.8
50000,367200,20.3,8.76,163.5,22,1.725,182.8
50000,367200,19.7,8.78,162.7,22,1.725,182.8
50000,367200,20.4,9.47,166.3,22,1.725,182.8
100000,367200,18.4,12.02,170.4,22,1.725,182.8
100000,367200,17,12.32,169.3,22,1.725,182.8
100000,367200,18.3,12.83,167,22,1.725,182.8
200000,367200,16.3,14.92,171,22,1.725,182.8
200000,367200,15.8,13.25,166.9,22,1.725,182.8
200000,367200,16.2,15.73,173,22,1.725,182.8
25000,410400,22.7,8.39,159.7,22,1.725,182.8
25000,410400,21,8.16,157.2,22,1.725,182.8
25000,410400,22.5,9.15,157,22,1.725,182.8
50000,410400,19.8,11.14,167.7,22,1.725,182.8
50000,410400,18.6,10.93,160.1,22,1.725,182.8
50000,410400,19.5,11.74,162.6,22,1.725,182.8
100000,410400,17.4,14.03,158.3,22,1.725,182.8
100000,410400,16,15.2,163.5,22,1.725,182.8
100000,410400,17.3,15.22,168.4,22,1.725,182.8
200000,410400,14.8,16.56,162.3,22,1.725,182.8
200000,410400,14.2,15.94,160.2,22,1.725,182.8
200000,410400,14.9,17.62,166,22,1.725,182.8
25000,21600,21.9,1.84,164.5,22,1.725,182.8
25000,21600,22,1.87,158.3,22,1.725,182.8
25000,21600,22.1,1.96,163.8,22,1.725,182.8
50000,21600,21.8,1.98,171.9,22,1.725,182.8
50000,21600,21.8,1.99,169.3,22,1.725,182.8
50000,21600,21.4,1.98,168.7,22,1.725,182.8
100000,21600,21.5,2.09,163.7,22,1.725,182.8
100000,21600,21.3,2.06,160.5,22,1.725,182.8
100000,21600,21.3,2.11,172.7,22,1.725,182.8
200000,21600,21.5,2.23,182.1,22,1.725,182.8
200000,21600,21.2,2.23,163.9,22,1.725,182.8
200000,21600,21.3,2.12,167.8,22,1.725,182.8
25000,64800,22.2,1.98,163.3,22,1.725,182.8
25000,64800,22.3,1.97,155,22,1.725,182.8
25000,64800,22.4,2.02,155.9,22,1.725,182.8
50000,64800,22.3,2.13,157.8,22,1.725,182.8
50000,64800,22,2.12,159.6,22,1.725,182.8
50000,64800,22.1,2.24,163.2,22,1.725,182.8
100000,64800,21.9,2.43,166,22,1.725,182.8
100000,64800,22,2.43,164.6,22,1.725,182.8
100000,64800,22.1,2.49,165.5,22,1.725,182.8
200000,64800,21.6,3,169.5,22,1.725,182.8
200000,64800,20.9,2.89,164.3,22,1.725,182.8
200000,64800,22,3,168.1,22,1.725,182.8
25000,108000,23,2.34,164.7,22,1.725,182.8
25000,108000,22.8,2.32,168.8,22,1.725,182.8
25000,108000,22.6,2.32,169.3,22,1.725,182.8
50000,108000,22.5,2.51,162.6,22,1.725,182.8
50000,108000,21.8,2.5,165.3,22,1.725,182.8
50000,108000,22.5,2.7,171.1,22,1.725,182.8
100000,108000,22.2,3.08,175,22,1.725,182.8
100000,108000,21.5,2.99,162.9,22,1.725,182.8
100000,108000,22.3,3.18,165.7,22,1.725,182.8
200000,108000,21.5,4.13,164.7,22,1.725,182.8
200000,108000,21.6,4.23,169.6,22,1.725,182.8
200000,108000,21.2,4.13,165.4,22,1.725,182.8
25000,151200,22.8,2.64,161.7,22,1.725,182.8
25000,151200,22.6,2.45,158.3,22,1.725,182.8
25000,151200,22.7,2.51,155.1,22,1.725,182.8
50000,151200,22.3,2.77,158,22,1.725,182.8
50000,151200,22,2.8,158.5,22,1.725,182.8
50000,151200,22.2,3.1,162.9,22,1.725,182.8
100000,151200,21.9,3.66,164.7,22,1.725,182.8
100000,151200,21.5,3.77,162.6,22,1.725,182.8
100000,151200,22,3.88,180.2,22,1.725,182.8
200000,151200,20.7,5.31,162.3,22,1.725,182.8
200000,151200,20.2,5.31,163.8,22,1.725,182.8
200000,151200,21,5.61,167.6,22,1.725,182.8
25000,194400,23.3,3.23,160.9,22,1.725,182.8
25000,194400,23,2.83,160.6,22,1.725,182.8
25000,194400,23.2,2.91,165.8,22,1.725,182.8
50000,194400,22,3.33,161.2,22,1.725,182.8
50000,194400,21.8,3.36,165.4,22,1.725,182.8
50000,194400,22.3,3.83,163.6,22,1.725,182.8
100000,194400,21.8,4.79,166.1,22,1.725,182.8
100000,194400,21.1,4.77,166.8,22,1.725,182.8
100000,194400,21.8,4.72,167.1,22,1.725,182.8
200000,194400,20.3,7.14,165,22,1.725,182.8
200000,194400,19.8,7.25,169.5,22,1.725,182.8
200000,194400,20.2,7.05,164.7,22,1.725,182.8
25000,237600,23.3,3.92,156.4,22,1.725,182.8
25000,237600,23.2,3.39,162.1,22,1.725,182.8
25000,237600,23.3,3.58,171.1,22,1.725,182.8
50000,237600,22.5,4.14,157,22,1.725,182.8
50000,237600,22,4.28,164.3,22,1.725,182.8
50000,237600,22.8,4.7,160.1,22,1.725,182.8
100000,237600,21.9,6.37,168.1,22,1.725,182.8
100000,237600,21.1,6.09,161.4,22,1.725,182.8
100000,237600,21.8,6.71,167.6,22,1.725,182.8
200000,237600,19.6,9.12,174.4,22,1.725,182.8
200000,237600,19.1,9.3,168.4,22,1.725,182.8
200000,237600,19.6,9.21,182.6,22,1.725,182.8
25000,280800,23.3,5.25,164.9,22,1.725,182.8
25000,280800,23.1,4.17,163,22,1.725,182.8
25000,280800,23.7,4.62,165.8,22,1.725,182.8
50000,280800,21.9,5.19,163,22,1.725,182.8
50000,280800,20.9,5.32,161.2,22,1.725,182.8
50000,280800,21.7,6.22,162.8,22,1.725,182.8
100000,280800,20.8,7.9,166,22,1.725,182.8
100000,280800,19.6,7.8,166.1,22,1.725,182.8
100000,280800,20.3,7.94,168.9,22,1.725,182.8
200000,280800,18,10.82,168.8,22,1.725,182.8
200000,280800,17.6,11.28,171.5,22,1.725,182.8
200000,280800,18,10.58,169.7,22,1.725,182.8
25000,324000,22.7,6.94,159.5,22,1.725,182.8
25000,324000,21.9,5.24,161.9,22,1.725,182.8
25000,324000,22.8,5.9,164.8,22,1.725,182.8
50000,324000,21.4,6.83,158.4,22,1.725,182.8
50000,324000,20.2,6.89,162.5,22,1.725,182.8
50000,324000,22.1,7.56,165.1,22,1.725,182.8
100000,324000,20.5,9.34,162.3,22,1.725,182.8
100000,324000,19.3,9.51,163.6,22,1.725,182.8
100000,324000,20.4,9.61,160.9,22,1.725,182.8
200000,324000,17.6,12.75,167.8,22,1.725,182.8
200000,324000,16.7,12.78,170.7,22,1.725,182.8
200000,324000,17.8,12.48,174.8,22,1.725,182.8
25000,367200,22.2,7.83,162.1,22,1.725,182.8
25000,367200,21.5,6.41,162.6,22,1.725,182.8
25000,367200,23,7.15,164.2,22,1.725,182.8
50000,367200,21,7.9,162.2,22,1.725,182.8
50000,367200,19.9,8.17,161.7,22,1.725,182.8
50000,367200,21,9.35,163.9,22,1.725,182.8
100000,367200,19.4,11.59,162.1,22,1.725,182.8
100000,367200,17.9,11.16,167.5,22,1.725,182.8
100000,367200,19.5,11.1,169.5,22,1.725,182.8
200000,367200,16.3,13.4,171,22,1.725,182.8
200000,367200,15.4,13.51,171.4,22,1.725,182.8
200000,367200,16.6,13.65,172,22,1.725,182.8
25000,410400,22.1,9.79,169.8,22,1.725,182.8
25000,410400,21.1,7.77,196.3,22,1.725,182.8
25000,410400,22.6,8.83,168.4,22,1.725,182.8
50000,410400,20.4,9.49,169.2,22,1.725,182.8
50000,410400,19,9.65,171,22,1.725,182.8
50000,410400,20.3,10.58,173.3,22,1.725,182.8
100000,410400,18.2,12.7,167.6,22,1.725,182.8
100000,410400,17,13.19,169.2,22,1.725,182.8
100000,410400,19,16.36,170.6,22,1.725,182.8
200000,410400,15.3,16.73,169.9,22,1.725,182.8
200000,410400,14,16.12,175,22,1.725,182.8
200000,410400,15.2,15.23,174.4,22,1.725,182.8
25000,21600,22.4,2.01,162.1,22,1.725,182.8
25000,21600,21.5,1.95,163.8,22,1.725,182.8
25000,21600,21.3,1.97,162.5,22,1.725,182.8
50000,21600,21.1,2.18,163,22,1.725,182.8
50000,21600,21.1,2.23,171.7,22,1.725,182.8
50000,21600,21.1,2.23,163.6,22,1.725,182.8
100000,21600,21.5,2.73,164.3,22,1.725,182.8
100000,21600,21,2.59,166,22,1.725,182.8
100000,21600,20.9,2.66,166,22,1.725,182.8
200000,21600,20.6,3.45,167.8,22,1.725,182.8
200000,21600,20.7,3.49,173.3,22,1.725,182.8
200000,21600,20.7,3.48,177.4,22,1.725,182.8
25000,64800,22.3,2.3,170.5,22,1.725,182.8
25000,64800,21.8,2.33,172.3,22,1.725,182.8
25000,64800,22.3,2.33,170.5,22,1.725,182.8
50000,64800,21.6,2.84,173.3,22,1.725,182.8
50000,64800,21.4,2.84,173.5,22,1.725,182.8
50000,64800,21.9,2.91,174.7,22,1.725,182.8
100000,64800,21.7,3.96,175.9,22,1.725,182.8
100000,64800,21.3,3.7,175,22,1.725,182.8
100000,64800,21.8,3.8,177.6,22,1.725,182.8
200000,64800,20.6,5.59,178.3,22,1.725,182.8
200000,64800,20.2,5.86,178.3,22,1.725,182.8
200000,64800,20.1,5.61,178.7,22,1.725,182.8
25000,108000,21.8,2.56,163.9,22,1.725,182.8
25000,108000,21.3,2.59,168.6,22,1.725,182.8
25000,108000,22,2.69,167,22,1.725,182.8
50000,108000,21.3,3.83,165.4,22,1.725,182.8
50000,108000,20.7,3.72,166.6,22,1.725,182.8
50000,108000,21.9,3.97,166.2,22,1.725,182.8
100000,108000,20.2,5.67,168.8,22,1.725,182.8
100000,108000,20.3,5.17,169.8,22,1.725,182.8
100000,108000,20,5.43,167.3,22,1.725,182.8
200000,108000,18.9,7.98,168.1,22,1.725,182.8
200000,108000,18.5,8.43,165.8,22,1.725,182.8
200000,108000,18.8,8.38,167.5,22,1.725,182.8
25000,151200,22.7,3.17,166.3,22,1.725,182.8
25000,151200,22.2,3.2,167.9,22,1.725,182.8
25000,151200,22.4,3.32,169.9,22,1.725,182.8
50000,151200,21.6,5.08,172.9,22,1.725,182.8
50000,151200,21.2,5.05,170.7,22,1.725,182.8
50000,151200,21.7,5.25,167.9,22,1.725,182.8
100000,151200,19.9,7.9,172.8,22,1.725,182.8
100000,151200,19.4,6.78,172.4,22,1.725,182.8
100000,151200,19.6,7.15,171.1,22,1.725,182.8
200000,151200,17.7,10.31,172.2,22,1.725,182.8
200000,151200,17.2,10.49,169.7,22,1.725,182.8
200000,151200,17.9,10.7,170.3,22,1.725,182.8
25000,194400,22.1,3.82,171.3,22,1.725,182.8
25000,194400,21.5,3.92,168.7,22,1.725,182.8
25000,194400,22.2,4.12,169.6,22,1.725,182.8
50000,194400,20.6,6.42,169.2,22,1.725,182.8
50000,194400,19.8,6.45,167.9,22,1.725,182.8
50000,194400,20.6,6.73,169.5,22,1.725,182.8
100000,194400,18.5,9.57,165.1,22,1.725,182.8
100000,194400,18.6,8.55,171.9,22,1.725,182.8
100000,194400,18.8,9.12,167.2,22,1.725,182.8
200000,194400,16.7,12.34,165.6,22,1.725,182.8
200000,194400,15.9,14.21,168.7,22,1.725,182.8
200000,194400,16.2,12.89,170.5,22,1.725,182.8
25000,237600,22.2,5.15,152.3,22,1.725,182.8
25000,237600,21.5,5.3,154.6,22,1.725,182.8
25000,237600,22.2,5.65,154.2,22,1.725,182.8
50000,237600,20,8.68,158.1,22,1.725,182.8
50000,237600,19.2,8.55,155,22,1.725,182.8
50000,237600,20,8.68,155.7,22,1.725,182.8
100000,237600,17.1,12.27,160.1,22,1.725,182.8
100000,237600,17.4,10.85,159.1,22,1.725,182.8
100000,237600,17.7,11.7,161.3,22,1.725,182.8
200000,237600,15.3,14.84,158.8,22,1.725,182.8
200000,237600,14.7,15.85,163.7,22,1.725,182.8
200000,237600,15.2,15.41,164.4,22,1.725,182.8
25000,280800,22.3,7.72,161.4,22,1.725,182.8
25000,280800,21.3,7.43,161.3,22,1.725,182.8
25000,280800,22.6,7.35,167,22,1.725,182.8
50000,280800,19.3,11.19,171.4,22,1.725,182.8
50000,280800,18.7,10.78,161.2,22,1.725,182.8
50000,280800,19.5,11.13,164.3,22,1.725,182.8
100000,280800,16.5,15.42,158.3,22,1.725,182.8
100000,280800,16.6,13.35,158.9,22,1.725,182.8
100000,280800,17,14.87,169.4,22,1.725,182.8
200000,280800,14.6,22.53,169,22,1.725,182.8
200000,280800,13.5,20.65,173.9,22,1.725,182.8
200000,280800,14.3,20.17,181.3,22,1.725,182.8
25000,324000,21.8,9.75,162,22,1.725,182.8
25000,324000,20.7,9.28,161.9,22,1.725,182.8
25000,324000,22,9.71,170.2,22,1.725,182.8
50000,324000,18.6,13.3,161.6,22,1.725,182.8
50000,324000,17.6,12.97,162.6,22,1.725,182.8
50000,324000,18.6,13.13,164,22,1.725,182.8
100000,324000,15.5,17.19,170.3,22,1.725,182.8
100000,324000,15.5,15.08,164.5,22,1.725,182.8
100000,324000,15.7,15.9,163.4,22,1.725,182.8
200000,324000,13.4,18.71,162.7,22,1.725,182.8
200000,324000,12.2,18.31,166.2,22,1.725,182.8
200000,324000,13.3,18.89,171.1,22,1.725,182.8
25000,367200,21.5,12.24,165.1,22,1.725,182.8
25000,367200,19.9,11.09,164.8,22,1.725,182.8
25000,367200,21.6,11.79,164.6,22,1.725,182.8
50000,367200,18.3,14.94,159.3,22,1.725,182.8
50000,367200,16.8,15.18,162.3,22,1.725,182.8
50000,367200,18.2,15.35,163.1,22,1.725,182.8
100000,367200,14.6,20.94,161.9,22,1.725,182.8
100000,367200,14.8,17.26,165.7,22,1.725,182.8
100000,367200,15.4,22.4,165.6,22,1.725,182.8
200000,367200,12.8,21.83,166.3,22,1.725,182.8
200000,367200,11.4,21.11,179.9,22,1.725,182.8
200000,367200,12.5,21.7,169.5,22,1.725,182.8
25000,410400,21.3,14.74,157.1,22,1.725,182.8
25000,410400,19.5,13.78,165.3,22,1.725,182.8
25000,410400,21.5,14.31,166,22,1.725,182.8
50000,410400,17.5,18.39,173.3,22,1.725,182.8
50000,410400,15.7,16.99,173.4,22,1.725,182.8
50000,410400,17.7,18.29,176,22,1.725,182.8
100000,410400,14,24.72,174.8,22,1.725,182.8
100000,410400,13.8,19.77,173.1,22,1.725,182.8
100000,410400,14.5,20.57,173.9,22,1.725,182.8
200000,410400,11.9,21.86,174.1,22,1.725,182.8
200000,410400,10.2,20.43,176.4,22,1.725,182.8
200000,410400,11.8,21.5,176.2,22,1.725,182.8
