initialCells,t (s),experimentalGlucose (mol/m^3),experimentalLactate (mol/m^3),experimentalOxygen (O2 mmHg),initialGlucose (mol/m^3),initialLactate (mol/m^3),initialOxygen (O2 mmHg)
25000,21600,22.2,1.76,154.6,22,1.725,182.8
25000,21600,21.5,1.73,156.1,22,1.725,182.8
25000,21600,21.5,1.75,156.7,22,1.725,182.8
50000,21600,21.3,1.82,156.9,22,1.725,182.8
50000,21600,21.3,1.8,157.5,22,1.725,182.8
50000,21600,21.6,1.88,157.1,22,1.725,182.8
100000,21600,21.7,2.02,162.6,22,1.725,182.8
100000,21600,21.1,1.98,159.6,22,1.725,182.8
100000,21600,21.3,2.01,163.7,22,1.725,182.8
200000,21600,21.4,2.12,160.6,22,1.725,182.8
200000,21600,20.9,2.02,169.4,22,1.725,182.8
200000,21600,21.2,2.06,173.8,22,1.725,182.8
25000,64800,21.4,1.82,157.2,22,1.725,182.8
25000,64800,21.5,1.84,156.6,22,1.725,182.8
50000,64800,21.5,2.01,160.1,22,1.725,182.8
50000,64800,21.1,2.05,167.6,22,1.725,182.8
50000,64800,21.1,2.03,158.1,22,1.725,182.8
100000,64800,21.1,2.42,159.8,22,1.725,182.8
100000,64800,21,2.47,159,22,1.725,182.8
100000,64800,21.1,2.53,160.8,22,1.725,182.8
200000,64800,20.9,2.99,159.4,22,1.725,182.8
200000,64800,20.7,2.99,161.9,22,1.725,182.8
200000,64800,20.8,3.11,157.7,22,1.725,182.8
25000,108000,22.5,2.2,162,22,1.725,182.8
25000,108000,22.5,2.23,159.8,22,1.725,182.8
25000,108000,22.4,2.31,160.2,22,1.725,182.8
50000,108000,22.1,2.59,160.2,22,1.725,182.8
50000,108000,21.7,2.5,165.6,22,1.725,182.8
50000,108000,21.8,2.59,160.6,22,1.725,182.8
100000,108000,21.4,3.21,161.4,22,1.725,182.8
100000,108000,21.3,3.36,161.8,22,1.725,182.8
100000,108000,21.5,3.45,164.4,22,1.725,182.8
200000,108000,21.6,4.63,162.4,22,1.725,182.8
200000,108000,21,4.69,168.9,22,1.725,182.8
25000,151200,22.4,2.35,163.7,22,1.725,182.8
