initialCells,t (s),experimentalCells (1),initialGlucose (mol/m^3),initialLactate (mol/m^3),initialOxygen (O2 mmHg)
25000,280800,165640.4598,5.366666667,1.466666667,209.6333333
25000,280800,157907.8585,5.366666667,1.466666667,209.6333333
25000,280800,173373.0611,5.366666667,1.466666667,209.6333333
50000,280800,290583.0179,5.366666667,1.466666667,209.6333333
50000,280800,371978.8212,5.366666667,1.466666667,209.6333333
50000,280800,331891.3881,5.366666667,1.466666667,209.6333333
100000,280800,656050.1749,5.366666667,1.466666667,209.6333333
100000,280800,609654.567,5.366666667,1.466666667,209.6333333
100000,280800,591747.4902,5.366666667,1.466666667,209.6333333
200000,280800,940935.4865,5.366666667,1.466666667,209.6333333
200000,280800,900237.5849,5.366666667,1.466666667,209.6333333
200000,280800,905121.3331,5.366666667,1.466666667,209.6333333
25000,367200,414915.1075,5.366666667,1.466666667,209.6333333
25000,367200,338810.0314,5.366666667,1.466666667,209.6333333
25000,367200,314798.2694,5.366666667,1.466666667,209.6333333
50000,367200,522561.0574,5.366666667,1.466666667,209.6333333
50000,367200,644654.7624,5.366666667,1.466666667,209.6333333
50000,367200,599887.0706,5.366666667,1.466666667,209.6333333
100000,367200,843260.5225,5.366666667,1.466666667,209.6333333
100000,367200,881516.5501,5.366666667,1.466666667,209.6333333
100000,367200,875818.8439,5.366666667,1.466666667,209.6333333
200000,367200,1103727.093,5.366666667,1.466666667,209.6333333
200000,367200,942563.4026,5.366666667,1.466666667,209.6333333
200000,367200,924656.3259,5.366666667,1.466666667,209.6333333
