initialCells,t (s),experimentalCells (1),initialGlucose (mol/m^3),initialLactate (mol/m^3),initialOxygen (O2 mmHg)
25000,21600,12209.3705,5.366666667,1.466666667,209.6333333
25000,21600,7936.090825,5.366666667,1.466666667,209.6333333
25000,21600,12005.88099,5.366666667,1.466666667,209.6333333
50000,21600,26046.65707,5.366666667,1.466666667,209.6333333
50000,21600,27674.57313,5.366666667,1.466666667,209.6333333
50000,21600,23808.27248,5.366666667,1.466666667,209.6333333
100000,21600,53721.2302,5.366666667,1.466666667,209.6333333
100000,21600,64506.17414,5.366666667,1.466666667,209.6333333
100000,21600,64302.68463,5.366666667,1.466666667,209.6333333
200000,21600,122297.1945,5.366666667,1.466666667,209.6333333
200000,21600,121890.2155,5.366666667,1.466666667,209.6333333
200000,21600,137151.9286,5.366666667,1.466666667,209.6333333
25000,108000,33779.25838,5.366666667,1.466666667,209.6333333
25000,108000,40087.43314,5.366666667,1.466666667,209.6333333
25000,108000,37442.06953,5.366666667,1.466666667,209.6333333
50000,108000,66337.57972,5.366666667,1.466666667,209.6333333
50000,108000,73459.71251,5.366666667,1.466666667,209.6333333
50000,108000,73459.71251,5.366666667,1.466666667,209.6333333
100000,108000,161367.1801,5.366666667,1.466666667,209.6333333
100000,108000,146308.9565,5.366666667,1.466666667,209.6333333
100000,108000,139186.8237,5.366666667,1.466666667,209.6333333
200000,108000,282239.9481,5.366666667,1.466666667,209.6333333
200000,108000,316019.2064,5.366666667,1.466666667,209.6333333
200000,108000,315205.2484,5.366666667,1.466666667,209.6333333
25000,194400,57587.53086,5.366666667,1.466666667,209.6333333
25000,194400,62471.27906,5.366666667,1.466666667,209.6333333
25000,194400,72035.28595,5.366666667,1.466666667,209.6333333
50000,194400,152413.6417,5.366666667,1.466666667,209.6333333
50000,194400,154448.5368,5.366666667,1.466666667,209.6333333
50000,194400,136337.9706,5.366666667,1.466666667,209.6333333
100000,194400,334536.7517,5.366666667,1.466666667,209.6333333
100000,194400,319885.5071,5.366666667,1.466666667,209.6333333
100000,194400,302181.9199,5.366666667,1.466666667,209.6333333
200000,194400,564072.9171,5.366666667,1.466666667,209.6333333
200000,194400,583607.9099,5.366666667,1.466666667,209.6333333
200000,194400,586049.784,5.366666667,1.466666667,209.6333333
25000,280800,153024.1103,5.366666667,1.466666667,209.6333333
25000,280800,147326.404,5.366666667,1.466666667,209.6333333
25000,280800,175407.9562,5.366666667,1.466666667,209.6333333
50000,280800,291600.4654,5.366666667,1.466666667,209.6333333
50000,280800,275728.2838,5.366666667,1.466666667,209.6333333
50000,280800,319478.5281,5.366666667,1.466666667,209.6333333
100000,280800,551863.5466,5.366666667,1.466666667,209.6333333
100000,280800,518491.2672,5.366666667,1.466666667,209.6333333
100000,280800,549421.6725,5.366666667,1.466666667,209.6333333
200000,280800,966982.1436,5.366666667,1.466666667,209.6333333
200000,280800,901865.5009,5.366666667,1.466666667,209.6333333
200000,280800,861167.5993,5.366666667,1.466666667,209.6333333
25000,367200,353868.255,5.366666667,1.466666667,209.6333333
25000,367200,277763.1789,5.366666667,1.466666667,209.6333333
25000,367200,263518.9133,5.366666667,1.466666667,209.6333333
50000,367200,499770.2325,5.366666667,1.466666667,209.6333333
50000,367200,495700.4423,5.366666667,1.466666667,209.6333333
50000,367200,511165.6449,5.366666667,1.466666667,209.6333333
100000,367200,853028.0189,5.366666667,1.466666667,209.6333333
100000,367200,841429.117,5.366666667,1.466666667,209.6333333
100000,367200,681689.8529,5.366666667,1.466666667,209.6333333
200000,367200,1203029.973,5.366666667,1.466666667,209.6333333
200000,367200,1051633.779,5.366666667,1.466666667,209.6333333
200000,367200,1137913.331,5.366666667,1.466666667,209.6333333
25000,21600,21773.37739,5.366666667,1.466666667,209.6333333
25000,21600,19534.9928,5.366666667,1.466666667,209.6333333
25000,21600,22587.33543,5.366666667,1.466666667,209.6333333
50000,21600,43343.26528,5.366666667,1.466666667,209.6333333
50000,21600,42325.81773,5.366666667,1.466666667,209.6333333
50000,21600,43139.77577,5.366666667,1.466666667,209.6333333
100000,21600,83023.7194,5.366666667,1.466666667,209.6333333
100000,21600,90756.32072,5.366666667,1.466666667,209.6333333
100000,21600,75291.11808,5.366666667,1.466666667,209.6333333
200000,21600,170117.229,5.366666667,1.466666667,209.6333333
200000,21600,161367.1801,5.366666667,1.466666667,209.6333333
200000,21600,145901.9775,5.366666667,1.466666667,209.6333333
25000,108000,34796.70593,5.366666667,1.466666667,209.6333333
25000,108000,35814.15347,5.366666667,1.466666667,209.6333333
25000,108000,34186.2374,5.366666667,1.466666667,209.6333333
50000,108000,71831.79644,5.366666667,1.466666667,209.6333333
50000,108000,85262.10399,5.366666667,1.466666667,209.6333333
50000,108000,67151.53775,5.366666667,1.466666667,209.6333333
100000,108000,155059.0054,5.366666667,1.466666667,209.6333333
100000,108000,161367.1801,5.366666667,1.466666667,209.6333333
100000,108000,146715.9355,5.366666667,1.466666667,209.6333333
200000,108000,317036.654,5.366666667,1.466666667,209.6333333
200000,108000,306658.6891,5.366666667,1.466666667,209.6333333
200000,108000,290176.0389,5.366666667,1.466666667,209.6333333
25000,194400,87093.50957,5.366666667,1.466666667,209.6333333
25000,194400,64506.17414,5.366666667,1.466666667,209.6333333
25000,194400,71424.81743,5.366666667,1.466666667,209.6333333
50000,194400,149157.8096,5.366666667,1.466666667,209.6333333
50000,194400,184768.4736,5.366666667,1.466666667,209.6333333
50000,194400,141221.7188,5.366666667,1.466666667,209.6333333
100000,194400,265146.8294,5.366666667,1.466666667,209.6333333
100000,194400,318054.1015,5.366666667,1.466666667,209.6333333
100000,194400,308693.5841,5.366666667,1.466666667,209.6333333
200000,194400,644654.7624,5.366666667,1.466666667,209.6333333
200000,194400,640584.9722,5.366666667,1.466666667,209.6333333
200000,194400,580352.0778,5.366666667,1.466666667,209.6333333
