initialCells,t (s),experimentalGlucose (mol/m^3),experimentalLactate (mol/m^3),experimentalOxygen (O2 mmHg),initialGlucose (mol/m^3),initialLactate (mol/m^3),initialOxygen (O2 mmHg)
100000,194400,4.7,3.14,161.2,5.211111111,1.457777778,211.1666667
200000,194400,3.8,4.75,172.4,5.211111111,1.457777778,211.1666667
200000,194400,3.5,5,169.9,5.211111111,1.457777778,211.1666667
200000,194400,3.5,5.02,169.6,5.211111111,1.457777778,211.1666667
25000,280800,5.6,2.42,163.8,5.211111111,1.457777778,211.1666667
25000,280800,5.5,2.26,160.3,5.211111111,1.457777778,211.1666667
25000,280800,5.5,2.5,163.6,5.211111111,1.457777778,211.1666667
50000,280800,5,3.24,163.7,5.211111111,1.457777778,211.1666667
50000,280800,4.9,3.08,168.5,5.211111111,1.457777778,211.1666667
50000,280800,4.8,3.37,168.9,5.211111111,1.457777778,211.1666667
100000,280800,3.9,5.19,171,5.211111111,1.457777778,211.1666667
100000,280800,3.8,5.2,170.1,5.211111111,1.457777778,211.1666667
100000,280800,3.8,5.48,174.4,5.211111111,1.457777778,211.1666667
200000,280800,2.2,8.24,172.4,5.211111111,1.457777778,211.1666667
200000,280800,1.7,8.72,171.2,5.211111111,1.457777778,211.1666667
200000,280800,1.7,8.75,169.3,5.211111111,1.457777778,211.1666667
25000,367200,5.5,3.43,171.8,5.211111111,1.457777778,211.1666667
25000,367200,5.4,3.09,175.5,5.211111111,1.457777778,211.1666667
25000,367200,5.4,3.66,175.2,5.211111111,1.457777778,211.1666667
50000,367200,4.2,5.24,172.8,5.211111111,1.457777778,211.1666667
50000,367200,4,4.96,178.9,5.211111111,1.457777778,211.1666667
50000,367200,3.8,5.78,176.3,5.211111111,1.457777778,211.1666667
100000,367200,2.3,8.63,175.2,5.211111111,1.457777778,211.1666667
100000,367200,2.1,8.32,175,5.211111111,1.457777778,211.1666667
100000,367200,2.1,9.16,170.6,5.211111111,1.457777778,211.1666667
25000,453600,5,4.88,176.6,5.211111111,1.457777778,211.1666667
25000,453600,5.1,4.26,171.4,5.211111111,1.457777778,211.1666667
25000,453600,4.9,5.26,177,5.211111111,1.457777778,211.1666667
50000,453600,2.9,7.48,177.3,5.211111111,1.457777778,211.1666667
50000,453600,2.9,7.5,170,5.211111111,1.457777778,211.1666667
50000,453600,2.5,8.77,173.5,5.211111111,1.457777778,211.1666667
25000,21600,5.1,1.7,175.5,5.211111111,1.457777778,211.1666667
25000,21600,5.1,1.71,177.2,5.211111111,1.457777778,211.1666667
25000,21600,5.1,1.63,177.5,5.211111111,1.457777778,211.1666667
50000,21600,5,1.65,177.7,5.211111111,1.457777778,211.1666667
50000,21600,4.9,1.65,181.9,5.211111111,1.457777778,211.1666667
50000,21600,5,1.65,177.7,5.211111111,1.457777778,211.1666667
100000,21600,4.9,1.73,177.1,5.211111111,1.457777778,211.1666667
100000,21600,4.8,1.71,175.9,5.211111111,1.457777778,211.1666667
100000,21600,4.8,1.69,180.3,5.211111111,1.457777778,211.1666667
200000,21600,4.7,1.9,179.8,5.211111111,1.457777778,211.1666667
200000,21600,4.7,1.92,182.5,5.211111111,1.457777778,211.1666667
200000,21600,4.7,1.95,183.2,5.211111111,1.457777778,211.1666667
25000,108000,5.3,1.99,167,5.211111111,1.457777778,211.1666667
25000,108000,5.2,1.88,170.4,5.211111111,1.457777778,211.1666667
25000,108000,5.1,1.88,166.9,5.211111111,1.457777778,211.1666667
50000,108000,5,2.28,167.6,5.211111111,1.457777778,211.1666667
50000,108000,5,2.32,163.9,5.211111111,1.457777778,211.1666667
50000,108000,5,2.34,171.4,5.211111111,1.457777778,211.1666667
100000,108000,4.7,3.03,167.7,5.211111111,1.457777778,211.1666667
100000,108000,4.6,3.18,164.4,5.211111111,1.457777778,211.1666667
100000,108000,4.7,3.02,165.6,5.211111111,1.457777778,211.1666667
200000,108000,3.9,4.57,165.5,5.211111111,1.457777778,211.1666667
200000,108000,3.8,4.64,170,5.211111111,1.457777778,211.1666667
200000,108000,3.9,4.38,163.8,5.211111111,1.457777778,211.1666667
25000,194400,5.2,2.71,175.5,5.211111111,1.457777778,211.1666667
25000,194400,5.1,2.39,173.6,5.211111111,1.457777778,211.1666667
25000,194400,5.2,2.58,173,5.211111111,1.457777778,211.1666667
50000,194400,4.6,3.47,171.8,5.211111111,1.457777778,211.1666667
50000,194400,4.5,3.44,164.4,5.211111111,1.457777778,211.1666667
50000,194400,4.7,3.59,166.3,5.211111111,1.457777778,211.1666667
100000,194400,3.7,5.19,164.7,5.211111111,1.457777778,211.1666667
100000,194400,3.5,5.51,172.4,5.211111111,1.457777778,211.1666667
100000,194400,3.8,5.19,178.1,5.211111111,1.457777778,211.1666667
200000,194400,2.1,8.28,170.2,5.211111111,1.457777778,211.1666667
200000,194400,1.9,8.24,176.1,5.211111111,1.457777778,211.1666667
200000,194400,2.2,7.71,173.6,5.211111111,1.457777778,211.1666667
25000,280800,4.8,3.59,172,5.211111111,1.457777778,211.1666667
25000,280800,4.8,3.17,168.5,5.211111111,1.457777778,211.1666667
25000,280800,4.9,3.57,163.9,5.211111111,1.457777778,211.1666667
50000,280800,3.8,5.02,159.1,5.211111111,1.457777778,211.1666667
50000,280800,3.7,4.94,168.5,5.211111111,1.457777778,211.1666667
50000,280800,3.8,5.29,164.5,5.211111111,1.457777778,211.1666667
100000,280800,2.4,7.45,156.7,5.211111111,1.457777778,211.1666667
100000,280800,2.1,8.16,155.1,5.211111111,1.457777778,211.1666667
100000,280800,2.5,7.74,158.4,5.211111111,1.457777778,211.1666667
25000,367200,4.2,5.62,171.3,5.211111111,1.457777778,211.1666667
25000,367200,4.3,4.31,167.4,5.211111111,1.457777778,211.1666667
25000,367200,4.3,5.35,174.1,5.211111111,1.457777778,211.1666667
50000,367200,2.8,7.56,170.2,5.211111111,1.457777778,211.1666667
50000,367200,2.7,7.73,172.2,5.211111111,1.457777778,211.1666667
50000,367200,2.8,7.79,170.2,5.211111111,1.457777778,211.1666667
100000,367200,1.1,10.2,163.4,5.211111111,1.457777778,211.1666667
25000,453600,2.8,8,189.6,5.211111111,1.457777778,211.1666667
25000,453600,3.3,5.98,176.5,5.211111111,1.457777778,211.1666667
25000,453600,3,7.71,179.3,5.211111111,1.457777778,211.1666667
50000,453600,1.2,9.29,179.6,5.211111111,1.457777778,211.1666667
50000,453600,1.1,9.09,174,5.211111111,1.457777778,211.1666667
50000,453600,1.1,9.55,178.8,5.211111111,1.457777778,211.1666667
25000,21600,5.3,1.6,173,5.211111111,1.457777778,211.1666667
25000,21600,5.2,1.66,171.8,5.211111111,1.457777778,211.1666667
25000,21600,5.2,1.67,170.2,5.211111111,1.457777778,211.1666667
50000,21600,5.2,1.74,171.6,5.211111111,1.457777778,211.1666667
50000,21600,5.1,1.75,173.4,5.211111111,1.457777778,211.1666667
50000,21600,5.2,1.74,172,5.211111111,1.457777778,211.1666667
100000,21600,5.2,1.85,167.6,5.211111111,1.457777778,211.1666667
100000,21600,5.2,1.87,169.1,5.211111111,1.457777778,211.1666667
100000,21600,5.2,1.89,171.1,5.211111111,1.457777778,211.1666667
200000,21600,5.1,2.01,177.5,5.211111111,1.457777778,211.1666667
200000,21600,5.1,2.01,169.9,5.211111111,1.457777778,211.1666667
200000,21600,5.1,2.06,174.8,5.211111111,1.457777778,211.1666667
25000,108000,5.2,1.84,165.2,5.211111111,1.457777778,211.1666667
25000,108000,5.1,1.84,172.8,5.211111111,1.457777778,211.1666667
25000,108000,5.1,1.81,173.8,5.211111111,1.457777778,211.1666667
50000,108000,4.9,2.15,162.1,5.211111111,1.457777778,211.1666667
50000,108000,4.9,2.21,175.9,5.211111111,1.457777778,211.1666667
50000,108000,5,2.14,179.2,5.211111111,1.457777778,211.1666667
100000,108000,4.7,2.84,170.6,5.211111111,1.457777778,211.1666667
100000,108000,4.8,2.39,167.6,5.211111111,1.457777778,211.1666667
100000,108000,4.8,2.54,171.1,5.211111111,1.457777778,211.1666667
200000,108000,4.2,3.54,171.5,5.211111111,1.457777778,211.1666667
200000,108000,4.1,3.63,170.1,5.211111111,1.457777778,211.1666667
200000,108000,4.2,3.54,171.6,5.211111111,1.457777778,211.1666667
25000,194400,5.3,2.3,163.4,5.211111111,1.457777778,211.1666667
25000,194400,5.1,2.26,157.4,5.211111111,1.457777778,211.1666667
25000,194400,5.2,2.32,158.3,5.211111111,1.457777778,211.1666667
50000,194400,4.7,3.14,157.1,5.211111111,1.457777778,211.1666667
50000,194400,4.6,3.2,160.2,5.211111111,1.457777778,211.1666667
50000,194400,5,3.01,159.7,5.211111111,1.457777778,211.1666667
100000,194400,3.8,4.87,168.3,5.211111111,1.457777778,211.1666667
100000,194400,4,4.5,173.8,5.211111111,1.457777778,211.1666667
100000,194400,4,4.53,171.8,5.211111111,1.457777778,211.1666667
200000,194400,2.6,6.77,167.8,5.211111111,1.457777778,211.1666667
200000,194400,2.5,6.86,165.4,5.211111111,1.457777778,211.1666667
200000,194400,2.6,6.93,166.9,5.211111111,1.457777778,211.1666667
25000,280800,5.2,3.11,159.5,5.211111111,1.457777778,211.1666667
25000,280800,5,2.99,161.1,5.211111111,1.457777778,211.1666667
25000,280800,5.2,3.13,163,5.211111111,1.457777778,211.1666667
50000,280800,4,5.14,164.3,5.211111111,1.457777778,211.1666667
50000,280800,3.8,5.28,166,5.211111111,1.457777778,211.1666667
50000,280800,4.4,4.67,164.7,5.211111111,1.457777778,211.1666667
100000,280800,2.2,8.94,163.1,5.211111111,1.457777778,211.1666667
100000,280800,2.5,7.75,167.3,5.211111111,1.457777778,211.1666667
100000,280800,2.3,8.75,167.4,5.211111111,1.457777778,211.1666667
25000,367200,4.6,4.34,163.4,5.211111111,1.457777778,211.1666667
25000,367200,4.5,4.04,164.7,5.211111111,1.457777778,211.1666667
25000,367200,4.7,4.25,163.7,5.211111111,1.457777778,211.1666667
50000,367200,2.7,7.53,164.9,5.211111111,1.457777778,211.1666667
50000,367200,2.5,7.93,166,5.211111111,1.457777778,211.1666667
50000,367200,3.3,6.92,165.2,5.211111111,1.457777778,211.1666667
25000,453600,3.8,6.7,179.3,5.211111111,1.457777778,211.1666667
25000,453600,3.8,6,166.2,5.211111111,1.457777778,211.1666667
25000,453600,3.9,6.37,168.1,5.211111111,1.457777778,211.1666667
50000,453600,1.1,10.98,162.9,5.211111111,1.457777778,211.1666667
50000,453600,1.8,10.02,169.2,5.211111111,1.457777778,211.1666667
