initialCells,t (s),experimentalGlucose (mol/m^3),experimentalLactate (mol/m^3),experimentalOxygen (O2 mmHg),initialGlucose (mol/m^3),initialLactate (mol/m^3),initialOxygen (O2 mmHg)
25000,21600,5.3,1.55,167.6,5.211111111,1.457777778,211.1666667
25000,21600,5.2,1.54,170.8,5.211111111,1.457777778,211.1666667
25000,21600,5.2,1.55,165.8,5.211111111,1.457777778,211.1666667
50000,21600,5.2,1.59,166.2,5.211111111,1.457777778,211.1666667
50000,21600,5.1,1.57,165,5.211111111,1.457777778,211.1666667
50000,21600,5.2,1.64,165.4,5.211111111,1.457777778,211.1666667
100000,21600,5.2,1.69,172.2,5.211111111,1.457777778,211.1666667
100000,21600,5.2,1.67,167.3,5.211111111,1.457777778,211.1666667
100000,21600,5.2,1.71,172.6,5.211111111,1.457777778,211.1666667
200000,21600,5.1,1.77,169.2,5.211111111,1.457777778,211.1666667
200000,21600,5.2,1.83,170.6,5.211111111,1.457777778,211.1666667
200000,21600,5,1.75,167.1,5.211111111,1.457777778,211.1666667
25000,108000,5.4,1.75,164.9,5.211111111,1.457777778,211.1666667
25000,108000,5.3,1.7,165.6,5.211111111,1.457777778,211.1666667
25000,108000,5.4,1.78,166.2,5.211111111,1.457777778,211.1666667
50000,108000,5.2,1.88,172.2,5.211111111,1.457777778,211.1666667
50000,108000,5.2,1.9,172,5.211111111,1.457777778,211.1666667
50000,108000,5.1,1.88,170.9,5.211111111,1.457777778,211.1666667
100000,108000,5.2,2.21,166.2,5.211111111,1.457777778,211.1666667
100000,108000,5,2.13,167.4,5.211111111,1.457777778,211.1666667
100000,108000,5.2,2.21,168.7,5.211111111,1.457777778,211.1666667
200000,108000,4.8,2.84,170,5.211111111,1.457777778,211.1666667
200000,108000,4.6,2.89,167.7,5.211111111,1.457777778,211.1666667
200000,108000,4.6,2.92,172.4,5.211111111,1.457777778,211.1666667
25000,194400,5.6,1.95,181.9,5.211111111,1.457777778,211.1666667
25000,194400,5.4,1.77,167.9,5.211111111,1.457777778,211.1666667
25000,194400,5.6,1.88,172.1,5.211111111,1.457777778,211.1666667
50000,194400,5.2,2.19,172.9,5.211111111,1.457777778,211.1666667
50000,194400,5.1,2.2,163,5.211111111,1.457777778,211.1666667
50000,194400,5,2.37,171.9,5.211111111,1.457777778,211.1666667
100000,194400,4.7,3.01,162,5.211111111,1.457777778,211.1666667
100000,194400,4.6,3.06,166.4,5.211111111,1.457777778,211.1666667
