initialCells,t (s),experimentalCells (1),initialGlucose (mol/m^3),initialLactate (mol/m^3),initialOxygen (O2 mmHg)
25000,21600,21773.37739,21.9,1.526666667,195.25
25000,21600,19941.97182,21.9,1.526666667,195.25
25000,21600,16482.65018,21.9,1.526666667,195.25
50000,21600,30726.91576,21.9,1.526666667,195.25
50000,21600,37035.09052,21.9,1.526666667,195.25
50000,21600,36628.1115,21.9,1.526666667,195.25
100000,21600,80581.8453,21.9,1.526666667,195.25
100000,21600,71628.30693,21.9,1.526666667,195.25
100000,21600,64506.17414,21.9,1.526666667,195.25
200000,21600,139186.8237,21.9,1.526666667,195.25
200000,21600,150989.2152,21.9,1.526666667,195.25
200000,21600,143460.1034,21.9,1.526666667,195.25
25000,108000,43139.77577,21.9,1.526666667,195.25
25000,108000,30319.93674,21.9,1.526666667,195.25
25000,108000,22587.33543,21.9,1.526666667,195.25
50000,108000,61860.81053,21.9,1.526666667,195.25
50000,108000,54738.67774,21.9,1.526666667,195.25
50000,108000,64099.19513,21.9,1.526666667,195.25
100000,108000,149564.7886,21.9,1.526666667,195.25
100000,108000,120669.2784,21.9,1.526666667,195.25
100000,108000,101744.7542,21.9,1.526666667,195.25
200000,108000,243373.452,21.9,1.526666667,195.25
200000,108000,255175.8435,21.9,1.526666667,195.25
200000,108000,254972.3539,21.9,1.526666667,195.25
25000,194400,64913.15316,21.9,1.526666667,195.25
25000,194400,51075.86659,21.9,1.526666667,195.25
25000,194400,54535.18823,21.9,1.526666667,195.25
50000,194400,120465.7889,21.9,1.526666667,195.25
50000,194400,104186.6283,21.9,1.526666667,195.25
50000,194400,94012.15285,21.9,1.526666667,195.25
100000,194400,240117.6198,21.9,1.526666667,195.25
100000,194400,209390.7041,21.9,1.526666667,195.25
100000,194400,193111.5434,21.9,1.526666667,195.25
200000,194400,376455.5904,21.9,1.526666667,195.25
200000,194400,428141.9255,21.9,1.526666667,195.25
200000,194400,413083.7019,21.9,1.526666667,195.25
25000,280800,121076.2575,21.9,1.526666667,195.25
25000,280800,129215.8378,21.9,1.526666667,195.25
25000,280800,124332.0896,21.9,1.526666667,195.25
50000,280800,243576.9415,21.9,1.526666667,195.25
50000,280800,210611.6411,21.9,1.526666667,195.25
